18.672558, -465.288391, 381.092834, -144.742088, 85.29806, 126.41695
18.651075, -465.125275, 381.05545, -144.743578, 85.29806, 126.414429
18.614866, -464.850464, 380.992249, -144.746099, 85.29806, 126.410189
17.569201, -456.960999, 379.039215, -144.819838, 85.298347, 126.287003
17.471819, -456.230865, 378.844788, -144.826886, 85.298347, 126.275486
17.374424, -455.501373, 378.648224, -144.833876, 85.298404, 126.263913
17.277012, -454.772583, 378.449493, -144.840923, 85.298404, 126.252281
17.179586, -454.044464, 378.248596, -144.848028, 85.298404, 126.24065
17.08215, -453.317017, 378.045532, -144.855075, 85.298461, 126.229077
16.972517, -452.499481, 377.814545, -144.863097, 85.298461, 126.215956
16.875053, -451.773529, 377.606934, -144.870201, 85.298461, 126.204268
16.765396, -450.957672, 377.370789, -144.87828, 85.298461, 126.191147
16.66791, -450.233215, 377.1586, -144.885442, 85.298519, 126.179459
16.570417, -449.50946, 376.944275, -144.892661, 85.298519, 126.16777
16.460728, -448.696136, 376.700592, -144.900797, 85.298519, 126.154535
16.375406, -448.064148, 376.509186, -144.907157, 85.298519, 126.144279
16.253511, -447.162323, 376.23291, -144.916267, 85.298519, 126.129554
16.168179, -446.531738, 376.037537, -144.922627, 85.298519, 126.119241
16.05846, -445.721802, 375.783936, -144.930877, 85.298519, 126.106005
15.948737, -444.912842, 375.527649, -144.939128, 85.298519, 126.092713
13.377675, -426.240417, 368.753723, -145.140179, 85.298232, 125.775867
13.341176, -425.979248, 368.646942, -145.143158, 85.298232, 125.771283
13.30468, -425.718231, 368.539856, -145.146138, 85.298232, 125.7667
13.256021, -425.370392, 368.396637, -145.150034, 85.298175, 125.760569
13.219532, -425.10965, 368.28891, -145.153013, 85.298175, 125.755985
13.170882, -424.762238, 368.144775, -145.156967, 85.298175, 125.749912
13.122238, -424.415039, 368.000122, -145.16092, 85.298175, 125.743781
13.024965, -423.721313, 367.70932, -145.168884, 85.298118, 125.731577
12.915558, -422.942017, 367.3797, -145.177822, 85.298118, 125.717769
12.806179, -422.16391, 367.047455, -145.186818, 85.29806, 125.703961
12.708979, -421.473267, 366.749969, -145.194782, 85.298003, 125.6917
12.611802, -420.783539, 366.450409, -145.202803, 85.298003, 125.679438
12.514649, -420.094818, 366.148834, -145.210882, 85.297946, 125.66712
12.405384, -419.321136, 365.807098, -145.219935, 85.297889, 125.653254
12.308288, -418.63443, 365.50116, -145.227956, 85.297889, 125.640936
12.211219, -417.94873, 365.193207, -145.236092, 85.297831, 125.628617
12.10205, -417.178467, 364.844299, -145.245202, 85.297774, 125.614694
12.005041, -416.494873, 364.532013, -145.253338, 85.297717, 125.602318
11.895944, -415.72699, 364.178253, -145.262505, 85.297717, 125.588395
11.799, -415.045471, 363.861664, -145.270641, 85.297659, 125.576019
11.702088, -414.36499, 363.54306, -145.278835, 85.297602, 125.563644
10.991082, -419.396332, 361.140259, -145.339396, 85.297201, 125.472142
